BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460641.995105,1.00177,0.00369,1.0775,0.10,0.41,14.55,13324
2460641.996555,1.00838,0.00372,1.0809,-0.11,0.68,14.34,13619
2460641.997994,1.00634,0.00370,1.0843,-0.89,-0.08,14.44,13273
2460641.999444,1.00020,0.00371,1.0878,-0.00,0.50,14.42,14118
2460642.000894,1.00453,0.00371,1.0914,-0.91,-0.08,14.18,14674
2460642.002333,1.00033,0.00373,1.0951,0.17,0.69,14.27,14131
2460642.003783,1.00039,0.00374,1.0989,-0.79,0.61,14.23,14290
2460642.005233,1.00475,0.00374,1.1027,-0.43,0.29,14.26,13990
2460642.006672,1.00591,0.00372,1.1067,-0.06,0.50,14.52,13008
2460642.008122,1.00557,0.00375,1.1109,-1.07,0.33,14.03,14578
2460642.009572,1.00220,0.00375,1.1151,0.49,0.62,14.20,14283
2460642.011011,1.00405,0.00371,1.1194,-1.26,-0.15,14.30,14109
2460642.012461,1.00734,0.00377,1.1238,-0.10,0.42,14.31,13923
2460642.013911,1.00541,0.00377,1.1283,0.25,0.60,14.99,12238
2460642.015350,1.00195,0.00375,1.1330,-1.16,0.25,14.53,12688
2460642.016800,0.99544,0.00378,1.1378,0.25,0.92,14.92,12120
2460642.018250,1.00277,0.00377,1.1426,-1.17,0.52,14.78,11910
2460642.021138,0.99679,0.00379,1.1527,-0.01,0.76,15.78,9749
2460642.022589,0.99898,0.00377,1.1580,-0.83,0.43,15.28,10979
2460642.024039,1.00144,0.00380,1.1634,0.16,0.95,16.35,9324
2460642.025477,1.00670,0.00382,1.1689,-1.40,0.49,15.73,9960
2460642.026927,1.00126,0.00378,1.1745,0.11,0.37,15.73,10466
2460642.028376,1.00195,0.00378,1.1802,-0.41,0.86,15.16,11163
2460642.029814,0.99979,0.00380,1.1861,-1.25,0.62,15.03,12021
2460642.031263,0.99751,0.00378,1.1922,0.21,1.12,15.05,11459
2460642.032711,0.99600,0.00380,1.1983,-1.53,0.35,14.90,11859
2460642.034160,1.00325,0.00382,1.2047,-0.34,0.46,14.98,11264
2460642.035609,1.00077,0.00380,1.2111,-0.11,0.52,15.03,11611
2460642.037047,1.00423,0.00382,1.2177,-0.92,0.54,14.72,12457
2460642.038496,1.00621,0.00382,1.2245,-0.26,0.87,16.08,9990
2460642.039945,0.99667,0.00382,1.2314,-1.17,0.64,15.17,11028
2460642.041394,0.99716,0.00384,1.2385,-0.69,0.60,15.41,10626
2460642.042844,1.00318,0.00385,1.2458,-0.30,0.66,15.90,10234
2460642.044282,1.00542,0.00383,1.2531,-1.21,0.51,14.61,13195
2460642.045731,1.00796,0.00383,1.2608,0.24,0.85,15.27,10968
