BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460641.892342,1.00148,0.00248,1.0396,-0.90,0.73,14.32,11618
2460641.892578,0.99464,0.00246,1.0393,-0.46,-0.34,14.14,14224
2460641.892815,0.99913,0.00247,1.0390,-0.04,-0.46,14.33,13486
2460641.893052,0.99608,0.00248,1.0387,0.47,0.95,13.68,14242
2460641.893289,0.99653,0.00248,1.0383,-1.64,1.70,13.92,13663
2460641.893526,0.99335,0.00248,1.0380,-1.98,1.34,13.95,13878
2460641.893756,1.00247,0.00248,1.0377,-1.70,0.86,13.96,13133
2460641.893992,0.99733,0.00247,1.0374,-1.55,0.05,14.02,13320
2460641.894229,0.99618,0.00247,1.0370,-0.11,-0.17,14.13,14422
2460641.894473,0.99403,0.00247,1.0367,-0.15,-0.90,14.51,13134
2460641.894703,0.99458,0.00248,1.0364,2.52,-1.60,14.64,13044
2460641.894939,1.00015,0.00248,1.0361,0.23,0.52,14.42,12174
2460641.895175,0.99522,0.00248,1.0358,-0.63,0.42,14.46,12723
2460641.895412,1.00276,0.00249,1.0355,-0.76,-0.06,14.59,11033
2460641.895648,0.99705,0.00246,1.0352,1.33,-0.09,14.06,13551
2460641.895885,0.99549,0.00247,1.0349,-0.90,1.38,14.22,12244
2460641.896121,0.99521,0.00247,1.0346,-1.93,1.64,14.18,13453
2460641.896358,0.99837,0.00247,1.0342,-1.16,0.84,13.84,14099
2460641.896594,0.99219,0.00247,1.0339,-2.08,1.27,14.44,13305
2460641.896831,0.99714,0.00247,1.0337,-1.22,0.64,14.25,14016
2460641.897067,1.00173,0.00248,1.0334,-0.52,-0.38,14.28,12592
2460641.897304,0.99319,0.00247,1.0331,0.88,-1.07,14.51,13121
2460641.897540,0.99750,0.00246,1.0328,0.53,-0.00,14.34,12469
2460641.897777,0.99759,0.00248,1.0325,0.26,0.44,14.70,11836
2460641.898014,0.99975,0.00248,1.0322,-0.47,-0.20,14.31,11768
2460641.898250,0.99590,0.00247,1.0319,0.08,0.89,14.66,12307
2460641.898486,1.00038,0.00248,1.0316,-0.04,0.63,15.04,11137
2460641.898723,0.99804,0.00248,1.0314,-0.03,0.38,14.43,12602
2460641.898960,0.99481,0.00250,1.0311,-0.14,1.14,15.56,9905
2460641.899433,0.99829,0.00249,1.0305,-2.73,1.27,14.98,10752
2460641.899669,0.99802,0.00248,1.0303,-1.47,0.64,14.84,11228
2460641.899906,0.99902,0.00248,1.0300,-0.18,1.32,14.93,10514
2460641.900143,0.99904,0.00248,1.0297,-0.44,-0.43,14.94,11122
2460641.900379,0.99814,0.00248,1.0294,1.21,-0.40,15.04,10836
