BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460641.926232,0.99677,0.00160,1.0120,0.02,-0.74,14.33,39253
2460641.926870,0.99772,0.00159,1.0119,0.22,-0.33,13.99,40819
2460641.927514,0.99853,0.00159,1.0118,0.09,-0.32,14.38,39014
2460641.928151,0.99914,0.00159,1.0117,-0.34,-0.49,14.05,41689
2460641.928787,0.99920,0.00160,1.0115,0.01,-0.46,14.31,40419
2460641.929431,0.99920,0.00160,1.0115,-0.50,0.04,14.36,39130
2460641.930067,0.99854,0.00160,1.0114,-0.17,0.30,13.90,41591
2460641.930704,0.99566,0.00159,1.0113,0.42,0.64,14.08,41408
2460641.931348,1.00028,0.00160,1.0113,0.78,0.63,14.39,36842
2460641.931984,0.99755,0.00160,1.0112,0.51,1.09,14.75,36726
2460641.932621,0.99991,0.00160,1.0112,0.56,0.87,14.52,38527
2460641.933265,0.99665,0.00159,1.0112,0.48,0.34,14.33,38955
2460641.933901,0.99875,0.00159,1.0112,0.75,-0.45,14.04,40857
2460641.934538,1.00178,0.00159,1.0112,0.65,-0.68,14.14,41981
2460641.935181,0.99782,0.00159,1.0113,0.83,-1.01,14.14,47543
2460641.935818,0.99830,0.00159,1.0113,0.54,-1.83,13.96,41676
2460641.936454,0.99848,0.00159,1.0114,0.62,-1.85,14.02,43440
2460641.937097,0.99850,0.00159,1.0114,0.11,-1.66,14.04,43850
2460641.937733,1.00064,0.00159,1.0115,0.00,-2.12,13.86,45903
2460641.938377,0.99884,0.00159,1.0116,-0.01,-2.25,14.03,44370
2460641.939013,1.00279,0.00159,1.0117,-0.12,-1.98,13.96,44371
2460641.939651,1.00147,0.00159,1.0119,-0.68,-1.86,13.97,43539
2460641.940287,1.00301,0.00159,1.0120,-0.39,-1.23,14.04,41195
2460641.940931,0.99752,0.00159,1.0122,-0.08,-0.51,13.79,43433
2460641.941566,1.00093,0.00159,1.0123,-0.34,-0.48,13.98,44676
2460641.942209,1.00065,0.00159,1.0125,-0.40,-0.82,13.94,40701
2460641.942844,1.00183,0.00159,1.0127,-0.15,-0.73,13.87,41125
2460641.943487,1.00108,0.00159,1.0129,0.06,-0.23,13.92,42196
2460641.944123,1.00050,0.00159,1.0131,-0.27,-1.10,14.27,39715
2460641.944767,1.00196,0.00159,1.0134,0.08,-1.18,14.32,38033
2460641.945402,0.99804,0.00159,1.0136,0.24,-0.43,13.86,40320
2460641.946046,1.00035,0.00159,1.0139,0.23,-0.80,14.03,38700
2460641.946682,1.00333,0.00159,1.0142,-0.12,-1.75,13.91,41553
2460641.947318,1.00115,0.00159,1.0144,1.02,0.30,13.82,43685
2460641.947976,1.00203,0.00159,1.0148,0.71,-0.60,13.82,42770
2460641.948621,1.00128,0.00158,1.0151,0.51,-0.27,13.71,41874
